,keyword,title,privious_time,view,video_url,comment,like_count,dislike_count,tag
0,십오야,"
[sub] 📺 ep.08 | 은진아 💃💃넌 좋은 민하가 될거야 💃💃 | 슬기로운 하드털이
",15:48,293605,GpcxujasWbE,760,9265,50,"['나영석', '나PD', '신서유기', '신서유기외전', '아간세', '아이슬란드', '아이슬란드간세끼', '이수근', '수근세끼', '은지원', '지원세끼', '삼시세끼', '세끼', '신효정', '나피디', '묘한이', 'tvN', '라끼남', '라면', '라면끼리는남자', '강호동', '양정우', '육봉선생', '6봉선생', '안성탕면', '농심', '너구리', '신라면', '짜파게티', '짜파구리', '진라면', '불닭볶음면', '팔도', '라면먹방', '먹방', '마포멋쟁이', '마포', '멋쟁이', '송민호', '표지훈', '민호', '지훈', '피오', 'MINO', 'PO', 'P.O', '위너', 'WINNER', '이너써클', 'INNERCIRCLE', '인서', '꿀벌', 'bbc', '비비씨', '송표', '표송', '패션', '패션유튜버', '패션유튜브', '삼시네세끼', '자급자족', '합숙', '달나라공약이행프로젝트', '달나라프로젝트', '공약', '달나라', '달', '젝스키스', '젝키', '젝서키', '젝스키', '지원', '이재진', '재진', '김재덕', '재덕', '장수원', '수원', 'SechsKies', 'Sechs Kies', '슬의', '슬기로운하드털이', '슬의생', '슬기로운의사생활', '신원호', '워노', '이우정', '조정석', '정경호', '유연석', '김대명', '전미도', '이익준', '김준완', '안정원', '양석형', '채송화', '용석민', '문태유', '도재학', '이익순', '곽선영', '겨울정원', '신현빈', '장겨울', '수빈쌤', 'hospitalplaylist']"
1,십오야,"
[sub] 📺 ep.08 | 은진아 💃💃넌 좋은 민하가 될거야 💃💃 | 슬기로운 하드털이
",15:48,293605,GpcxujasWbE,760,9265,50,"['나영석', '나PD', '신서유기', '신서유기외전', '아간세', '아이슬란드', '아이슬란드간세끼', '이수근', '수근세끼', '은지원', '지원세끼', '삼시세끼', '세끼', '신효정', '나피디', '묘한이', 'tvN', '라끼남', '라면', '라면끼리는남자', '강호동', '양정우', '육봉선생', '6봉선생', '안성탕면', '농심', '너구리', '신라면', '짜파게티', '짜파구리', '진라면', '불닭볶음면', '팔도', '라면먹방', '먹방', '마포멋쟁이', '마포', '멋쟁이', '송민호', '표지훈', '민호', '지훈', '피오', 'MINO', 'PO', 'P.O', '위너', 'WINNER', '이너써클', 'INNERCIRCLE', '인서', '꿀벌', 'bbc', '비비씨', '송표', '표송', '패션', '패션유튜버', '패션유튜브', '삼시네세끼', '자급자족', '합숙', '달나라공약이행프로젝트', '달나라프로젝트', '공약', '달나라', '달', '젝스키스', '젝키', '젝서키', '젝스키', '지원', '이재진', '재진', '김재덕', '재덕', '장수원', '수원', 'SechsKies', 'Sechs Kies', '슬의', '슬기로운하드털이', '슬의생', '슬기로운의사생활', '신원호', '워노', '이우정', '조정석', '정경호', '유연석', '김대명', '전미도', '이익준', '김준완', '안정원', '양석형', '채송화', '용석민', '문태유', '도재학', '이익순', '곽선영', '겨울정원', '신현빈', '장겨울', '수빈쌤', 'hospitalplaylist']"
2,십오야,"
[sub]🥔EP.4-2 내가 바로 K-레크리에이션 강사다. 수그라스의 런치쇼! | 나홀로 이식당 풀버전
",19:14,1423014,Q6nB-1kvMmg,1388,19338,288,"['나영석', '나PD', '신서유기', '아간세', '아이슬란드', '아이슬란드간세끼', '이수근', '은지원', '삼시세끼', '세끼', '신효정', '나피디', '묘한이', 'tvN', '라끼남', '라면', '라면끼리는남자', '강호동', '양정우', '육봉선생', '6봉선생', '안성탕면', '농심', '너구리', '신라면', '짜파게티', '짜파구리', '진라면', '불닭볶음면', '팔도', '라면먹방', '먹방', '마포멋쟁이', '마포', '멋쟁이', '송민호', '표지훈', '민호', '지훈', '피오', 'MINO', 'PO', 'P.O', '위너', 'WINNER', '이너써클', 'INNERCIRCLE', '인서', '꿀벌', 'bbc', '비비씨', '송표', '표송', '패션', '패션유튜버', '패션유튜브', '삼시네세끼', '자급자족', '합숙', '달나라공약이행프로젝트', '달나라프로젝트', '공약', '달나라', '달', '젝스키스', '젝키', '젝서키', '젝스키', '지원', '이재진', '재진', '김재덕', '재덕', '장수원', '수원', 'SechsKies', 'Sechs Kies', '슬의', '슬기로운하드털이', '슬의생', '슬기로운의사생활', '신원호', '워노', '이우정', '조정석', '정경호', '유연석', '김대명', '전미도', '이익준', '김준완', '안정원', '양석형', '채송화', '용석민', '문태유', '도재학', '이익순', '곽선영', '겨울정원', '신현빈', '장겨울', '수빈쌤', 'hospitalplaylist', '이식당', '나홀로이식당']"
3,십오야,"
[sub]🥔EP.4-1 두근수근 신메뉴 등장! 인간은,,, 같은 실수를 반복한다,,?!  | 나홀로 이식당 풀버전
",13:07,1597349,tdZmTAAJLxI,640,18116,332,"['나영석', '나PD', '신서유기', '아간세', '아이슬란드', '아이슬란드간세끼', '이수근', '은지원', '삼시세끼', '세끼', '신효정', '나피디', '묘한이', 'tvN', '라끼남', '라면', '라면끼리는남자', '강호동', '양정우', '안성탕면', '농심', '너구리', '신라면', '짜파게티', '짜파구리', '진라면', '불닭볶음면', '팔도', '라면먹방', '먹방', '마포멋쟁이', '마포', '멋쟁이', '송민호', '표지훈', '민호', '지훈', '피오', 'MINO', 'PO', 'P.O', '위너', 'WINNER', '이너써클', 'INNERCIRCLE', '인서', '꿀벌', 'bbc', '비비씨', '송표', '표송', '패션', '패션유튜버', '패션유튜브', '삼시네세끼', '자급자족', '합숙', '달나라공약이행프로젝트', '달나라프로젝트', '공약', '달나라', '달', '젝스키스', '젝키', '젝서키', '젝스키', '지원', '이재진', '재진', '김재덕', '재덕', '장수원', '수원', 'SechsKies', 'Sechs Kies', '슬의', '슬기로운하드털이', '슬의생', '슬기로운의사생활', '신원호', '워노', '이우정', '조정석', '정경호', '유연석', '김대명', '전미도', '이익준', '김준완', '안정원', '양석형', '채송화', '용석민', '문태유', '도재학', '이익순', '곽선영', '겨울정원', '신현빈', '장겨울', '수빈쌤', 'hospitalplaylist', '이식당', '나홀로이식당']"
4,십오야,"
[sub] 🥔EP.1-1 백종원쌤도 말리는 나홀로 식당을 어떻게든 해보려고 합니다. | 나홀로 이식당 풀버전
",14:50,3592965,nlEasCJJYdg,2017,41488,966,"['나영석', '나PD', '신서유기', '신서유기외전', '아간세', '아이슬란드', '아이슬란드간세끼', '이수근', '수근세끼', '은지원', '지원세끼', '삼시세끼', '세끼', '신효정', '나피디', '묘한이', 'tvN', '라끼남', '라면', '라면끼리는남자', '강호동', '양정우', '육봉선생', '6봉선생', '안성탕면', '농심', '너구리', '신라면', '짜파게티', '짜파구리', '진라면', '불닭볶음면', '팔도', '라면먹방', '먹방', '마포멋쟁이', '마포', '멋쟁이', '송민호', '표지훈', '민호', '지훈', '피오', 'MINO', 'PO', 'P.O', '위너', 'WINNER', '이너써클', 'INNERCIRCLE', '인서', '꿀벌', 'bbc', '비비씨', '송표', '표송', '패션', '패션유튜버', '패션유튜브', '삼시네세끼', '자급자족', '합숙', '달나라공약이행프로젝트', '달나라프로젝트', '공약', '달나라', '달', '젝스키스', '젝키', '젝서키', '젝스키', '지원', '이재진', '재진', '김재덕', '재덕', '장수원', '수원', 'SechsKies', 'Sechs Kies', '슬의', '슬기로운하드털이', '슬의생', '슬기로운의사생활', '신원호', '워노', '이우정', '조정석', '정경호', '유연석', '김대명', '전미도', '이익준', '김준완', '안정원', '양석형', '채송화', '용석민', '문태유', '도재학', '이익순', '곽선영', '겨울정원', '신현빈', '장겨울', '수빈쌤', 'hospitalplaylist']"
5,십오야,"
[sub]🥔EP.3-1 아직 세상은 살만합니다. 손님도 알바도 사장도 본사직원도 모두 다함께! | 다함께 이식당 풀버전
",13:15,2136692,snogfUPcn4I,911,21468,414,"['나영석', '나PD', '신서유기', '신서유기외전', '아간세', '아이슬란드', '아이슬란드간세끼', '이수근', '수근세끼', '은지원', '지원세끼', '삼시세끼', '세끼', '신효정', '나피디', '묘한이', 'tvN', '라끼남', '라면', '라면끼리는남자', '강호동', '양정우', '육봉선생', '6봉선생', '안성탕면', '농심', '너구리', '신라면', '짜파게티', '짜파구리', '진라면', '불닭볶음면', '팔도', '라면먹방', '먹방', '마포멋쟁이', '마포', '멋쟁이', '송민호', '표지훈', '민호', '지훈', '피오', 'MINO', 'PO', 'P.O', '위너', 'WINNER', '이너써클', 'INNERCIRCLE', '인서', '꿀벌', 'bbc', '비비씨', '송표', '표송', '패션', '패션유튜버', '패션유튜브', '삼시네세끼', '자급자족', '합숙', '달나라공약이행프로젝트', '달나라프로젝트', '공약', '달나라', '달', '젝스키스', '젝키', '젝서키', '젝스키', '지원', '이재진', '재진', '김재덕', '재덕', '장수원', '수원', 'SechsKies', 'Sechs Kies', '슬의', '슬기로운하드털이', '슬의생', '슬기로운의사생활', '신원호', '워노', '이우정', '조정석', '정경호', '유연석', '김대명', '전미도', '이익준', '김준완', '안정원', '양석형', '채송화', '용석민', '문태유', '도재학', '이익순', '곽선영', '겨울정원', '신현빈', '장겨울', '수빈쌤', 'hospitalplaylist']"
6,십오야,"
[sub] 🥔EP.2-1 수많은 외로움과 그 속 작은 기쁨에 관한 이야기.. | 나홀로 이식당 풀버전
",16:01,2767903,oc6okwrqtIw,1511,29550,497,"['나영석', '나PD', '신서유기', '신서유기외전', '아간세', '아이슬란드', '아이슬란드간세끼', '이수근', '수근세끼', '은지원', '지원세끼', '삼시세끼', '세끼', '신효정', '나피디', '묘한이', 'tvN', '라끼남', '라면', '라면끼리는남자', '강호동', '양정우', '육봉선생', '6봉선생', '안성탕면', '농심', '너구리', '신라면', '짜파게티', '짜파구리', '진라면', '불닭볶음면', '팔도', '라면먹방', '먹방', '마포멋쟁이', '마포', '멋쟁이', '송민호', '표지훈', '민호', '지훈', '피오', 'MINO', 'PO', 'P.O', '위너', 'WINNER', '이너써클', 'INNERCIRCLE', '인서', '꿀벌', 'bbc', '비비씨', '송표', '표송', '패션', '패션유튜버', '패션유튜브', '삼시네세끼', '자급자족', '합숙', '달나라공약이행프로젝트', '달나라프로젝트', '공약', '달나라', '달', '젝스키스', '젝키', '젝서키', '젝스키', '지원', '이재진', '재진', '김재덕', '재덕', '장수원', '수원', 'SechsKies', 'Sechs Kies', '슬의', '슬기로운하드털이', '슬의생', '슬기로운의사생활', '신원호', '워노', '이우정', '조정석', '정경호', '유연석', '김대명', '전미도', '이익준', '김준완', '안정원', '양석형', '채송화', '용석민', '문태유', '도재학', '이익순', '곽선영', '겨울정원', '신현빈', '장겨울', '수빈쌤', 'hospitalplaylist']"
7,십오야,"
🚀십오야페스타 LIVE 편집본 | 서터리밍부터 애칭짓기까지 여러분과 함께 할 수 있어 행복한 시버야 드림
",30:34,886726,tYGm2r06yHk,1815,15216,181,"['나영석', '나PD', '신서유기', '신서유기외전', '아간세', '아이슬란드', '아이슬란드간세끼', '이수근', '수근세끼', '은지원', '지원세끼', '삼시세끼', '세끼', '신효정', '나피디', '묘한이', 'tvN', '라끼남', '라면', '라면끼리는남자', '강호동', '양정우', '육봉선생', '6봉선생', '안성탕면', '농심', '너구리', '신라면', '짜파게티', '짜파구리', '진라면', '불닭볶음면', '팔도', '라면먹방', '먹방', '마포멋쟁이', '마포', '멋쟁이', '송민호', '표지훈', '민호', '지훈', '피오', 'MINO', 'PO', 'P.O', '위너', 'WINNER', '이너써클', 'INNERCIRCLE', '인서', '꿀벌', 'bbc', '비비씨', '송표', '표송', '패션', '패션유튜버', '패션유튜브', '삼시네세끼', '자급자족', '합숙', '달나라공약이행프로젝트', '달나라프로젝트', '공약', '달나라', '달', '젝스키스', '젝키', '젝서키', '젝스키', '지원', '이재진', '재진', '김재덕', '재덕', '장수원', '수원', 'SechsKies', 'Sechs Kies', '슬의', '슬기로운하드털이', '슬의생', '슬기로운의사생활', '신원호', '워노', '이우정', '조정석', '정경호', '유연석', '김대명', '전미도', '이익준', '김준완', '안정원', '양석형', '채송화', '용석민', '문태유', '도재학', '이익순', '곽선영', '겨울정원', '신현빈', '장겨울', '수빈쌤', 'hospitalplaylist']"
8,십오야,"
[sub]🥔EP.0 현실에서는 설거지 총괄이었던 내가 이세계에서는 식당주인?!  | 나홀로 이식당
",5:17,2776871,2Yhbw-Jrv3w,2379,44777,480,"['나영석', '나PD', '신서유기', '신서유기외전', '아간세', '아이슬란드', '아이슬란드간세끼', '이수근', '수근세끼', '은지원', '지원세끼', '삼시세끼', '세끼', '신효정', '나피디', '묘한이', 'tvN', '라끼남', '라면', '라면끼리는남자', '강호동', '양정우', '육봉선생', '6봉선생', '안성탕면', '농심', '너구리', '신라면', '짜파게티', '짜파구리', '진라면', '불닭볶음면', '팔도', '라면먹방', '먹방', '마포멋쟁이', '마포', '멋쟁이', '송민호', '표지훈', '민호', '지훈', '피오', 'MINO', 'PO', 'P.O', '위너', 'WINNER', '이너써클', 'INNERCIRCLE', '인서', '꿀벌', 'bbc', '비비씨', '송표', '표송', '패션', '패션유튜버', '패션유튜브', '삼시네세끼', '자급자족', '합숙', '달나라공약이행프로젝트', '달나라프로젝트', '공약', '달나라', '달', '젝스키스', '젝키', '젝서키', '젝스키', '지원', '이재진', '재진', '김재덕', '재덕', '장수원', '수원', 'SechsKies', 'Sechs Kies', '슬의', '슬기로운하드털이', '슬의생', '슬기로운의사생활', '신원호', '워노', '이우정', '조정석', '정경호', '유연석', '김대명', '전미도', '이익준', '김준완', '안정원', '양석형', '채송화', '용석민', '문태유', '도재학', '이익순', '곽선영', '겨울정원', '신현빈', '장겨울', '수빈쌤', 'hospitalplaylist']"
9,십오야,"
[sub] 🥔EP.2-2 드디어 밝혀지는 마지막 영업비밀,,,새로운 알바의 등장!!  | 나홀로 이식당 풀버전
",12:23,2373206,oU5IV35puhY,1886,28770,407,"['나영석', '나PD', '신서유기', '신서유기외전', '아간세', '아이슬란드', '아이슬란드간세끼', '이수근', '수근세끼', '은지원', '지원세끼', '삼시세끼', '세끼', '신효정', '나피디', '묘한이', 'tvN', '라끼남', '라면', '라면끼리는남자', '강호동', '양정우', '육봉선생', '6봉선생', '안성탕면', '농심', '너구리', '신라면', '짜파게티', '짜파구리', '진라면', '불닭볶음면', '팔도', '라면먹방', '먹방', '마포멋쟁이', '마포', '멋쟁이', '송민호', '표지훈', '민호', '지훈', '피오', 'MINO', 'PO', 'P.O', '위너', 'WINNER', '이너써클', 'INNERCIRCLE', '인서', '꿀벌', 'bbc', '비비씨', '송표', '표송', '패션', '패션유튜버', '패션유튜브', '삼시네세끼', '자급자족', '합숙', '달나라공약이행프로젝트', '달나라프로젝트', '공약', '달나라', '달', '젝스키스', '젝키', '젝서키', '젝스키', '지원', '이재진', '재진', '김재덕', '재덕', '장수원', '수원', 'SechsKies', 'Sechs Kies', '슬의', '슬기로운하드털이', '슬의생', '슬기로운의사생활', '신원호', '워노', '이우정', '조정석', '정경호', '유연석', '김대명', '전미도', '이익준', '김준완', '안정원', '양석형', '채송화', '용석민', '문태유', '도재학', '이익순', '곽선영', '겨울정원', '신현빈', '장겨울', '수빈쌤', 'hospitalplaylist']"
