,keyword,title,privious_time,view,video_url,comment,like_count,dislike_count,tag
0,리그오브레전드,"
K/DA - THE BADDEST ft. (G)I-DLE, Bea Miller, Wolftyla (Official Lyric Video) | League of Legends
",2:56,5599602,RkID8_gnTxw,34112,598615,21177,"['Riot Games', 'Riot', 'League of Legends', 'League', 'LoL', 'MOBA', 'kda', 'comeback', 'popstars', 'the baddest', 'return', 'kpop', 'league', 'lol', 'league of legends', 'music video', 'lyric video', 'animatic', 'akali', 'ahri', 'kaisa', 'evelynn', 'eve', 'kda akali', 'kda ahri', 'kda kaisa', 'kda evelynn', 'single', '(G)I-dle', 'soyeon', 'miyeon', 'Soyeon of (G)I-dle', 'Miyeon of (G)I-dle', 'bea miller', 'wolftyla', 'rmg', 'riot music group', 'kda2', 'kda album', 'kda ep']"
1,리그오브레전드,"
K/DA - THE BADDEST ft. (G)I-DLE, Bea Miller, Wolftyla (Official Lyric Video) | League of Legends
",2:56,5599602,RkID8_gnTxw,34120,598620,21177,"['Riot Games', 'Riot', 'League of Legends', 'League', 'LoL', 'MOBA', 'kda', 'comeback', 'popstars', 'the baddest', 'return', 'kpop', 'league', 'lol', 'league of legends', 'music video', 'lyric video', 'animatic', 'akali', 'ahri', 'kaisa', 'evelynn', 'eve', 'kda akali', 'kda ahri', 'kda kaisa', 'kda evelynn', 'single', '(G)I-dle', 'soyeon', 'miyeon', 'Soyeon of (G)I-dle', 'Miyeon of (G)I-dle', 'bea miller', 'wolftyla', 'rmg', 'riot music group', 'kda2', 'kda album', 'kda ep']"
2,리그오브레전드,"
Tales of Runeterra: Targon | “The Vaulted Road”
",3:39,1890292,6UuLD-0lndY,6688,107557,1598,"['Riot Games', 'Riot', 'League of Legends', 'League', 'LoL', 'MOBA', 'trailer', 'cinematic', 'cg', 'short', 'animation', 'animated', 'movie', 'riot', 'riot games', 'champions', 'card game', 'moba', 'legends of runeterra', 'legends runeterra', 'legends', 'runeterra', 'runterra', 'LoR', 'league of legends', 'league', 'diana', 'leona', 'targon', 'bilgewater', 'noxus', 'ionia', 'shadow isles', 'demacia', 'piltover', 'zaun', 'freljord']"
3,리그오브레전드,"
SN vs. LGD - 2020 LPL Regional Qualifier | LoL China 9th Anniversary (2020)
",,97012,whXlYIBRDlQ,0,1878,62,
4,리그오브레전드,"
롤 웃긴영상 모음 - 리그 오브 레전드
",15:58,735602,adsYUtuo37E,422,2960,213,"['롤', '리그 오브 레전드', 'lol', '리그오브레전드', '롤 웃긴', '롤 웃긴 영상', '웃긴영상', '리그', '오브', '레전드']"
5,리그오브레전드,"
[롤] 감스트 매드무비!! LOL
",13:05,1108138,xoDn1g-Wp1U,2658,12796,315,"['아프리카티비', '아프리카tv', 'afreecatv', 'broadcast', '감스트', '비제이', '김인직', '인직', '방송', 'bj', '감튜브', '콘텐츠', '컨텐츠', '비감', 'contents', 'gamst', 'injik', 'kiminjik', 'gamtube', 'bgam']"
6,리그오브레전드,"
[LOL] 롤 처음 시작하신다구요? / #1 초보 가이드, 기초지식, 롤 강의 /
",10:02,604228,3oAh2LG6PWc,1852,6952,130,"['롤', '리그오브레전드', '롤강의', '롤초보', '롤용어', '롤입문']"
7,리그오브레전드,"
前 랭킹 2위가 루시안 즐기는법 [리그오브레전드]
",10:01,804347,lDRhRBo0FOE,512,5479,243,"['뜨뜨뜨뜨', '배틀그라운드', '배그', '오버워치', '옵치', '러너웨이', '트위치', '스트리머', '뜨뜨', '아프리카', '아프리카TV', '핵', '매드무비', '하이라이트', '롤', '리그오브레전드', '루시안']"
8,리그오브레전드,"
Warriors | Season 2020 Cinematic - League of Legends (ft. 2WEI and Edda Hayes)
",3:22,63170067,aR-KAldshAE,106114,1907857,28990,"['Riot Games', 'Riot', 'League of Legends', 'League', 'LoL', 'MOBA', 'Lol season 2020 cinematic', 'lol animation', 'lol cinematic', 'league of legends cinematic', 'league of legends animation', 'league music', 'league of legends music', 'lol warriors 2020', 'lol warriors video 2020', 'lol warriors cinematic 2020', 'vi', 'urgot', 'caitlyn', 'ezreal', 'kai’sa', 'garen', 'lux', 'sylas', 'lol music video', 'warriors remix', 'lol warriors remix', 'yt:cc=on', 'Warriors 2020', 'Warriors', '2020', 'Season 2020', 'League of Legends 2020', '2wei lol', 'warriors league']"
9,리그오브레전드,"
형제의 피로 얼룩진 검 | 2020 영혼의 꽃 시네마틱 - 리그 오브 레전드
",10:24,916388,7xmgRLTjxIw,6303,15057,173,"['리그오브레전드', '리그 오브 레전드', '롤', 'LoL', 'Leagueoflegends', 'League of Legends', 'Riotgames', '라이엇 게임즈', '영혼의 꽃', '트레일러', '신규 트레일러', '시네마틱', '시네마틱 트레일러']"
10,리그오브레전드,"
K/DA - POP/STARS (ft. Madison Beer, (G)I-DLE, Jaira Burns) | Music Video - League of Legends
",3:23,366179771,UOxkGD8qRB4,235649,4381008,96279,"['Riot Games', 'Riot', 'League of Legends', 'League', 'LoL', 'MOBA', 'worlds pop song', 'worlds popstar', 'worlds music video', 'K/DA', 'Ahri', 'Kai’Sa', 'Evelynn', 'Eve', 'Akali', 'K/DA Ahri', 'K/DA Kai’Sa', 'K/DA kaisa', 'K/DA Evelynn', 'K/DA Eve', 'K/DA Akali', 'KDA Ahri', 'KDA Kai’Sa', 'KDA kaisa', 'KDA Evelynn', 'KDA Eve', 'KDA Akali', 'ahri kda', 'kaisa kda', 'eve kda', 'akali kda', 'evelynn kda', 'kai’sa kda', 'lol KDA']"
11,리그오브레전드,"
[롤] 감스트 티모 해봤습니다.. LOL
",13:46,1272761,nNtCQykIZfI,2488,12051,570,"['아프리카티비', '아프리카tv', 'afreecatv', 'broadcast', '감스트', '비제이', '김인직', '인직', '방송', 'bj', '감튜브', '콘텐츠', '컨텐츠', '비감', 'contents', 'gamst', 'injik', 'kiminjik', 'gamtube', 'bgam']"
12,리그오브레전드,"
다시보는 페이커 명경기#15: ""3:0으로 이겨드릴께요"" 유럽팬 멘붕시켰던 이 경기ㅣFaker's Best game #15: Faker vs Xpeke Shutdown 3-0
",10:18,7175564,dQbhAL9uSjI,2867,19824,1136,"['롤 매드무비', '롤 하이라이트', '롤 명장면', '페이커 매드무비', '페이커 하이라이트', '페이커 명장면', '페이커 라이즈', '페이커 유럽', 'SKT OG', 'SKT VS OG', '페이커 패기', '페이커 엑스페케', 'FAKER XPEKE', '페이커 명경기', '2015 롤드컵 4강']"
13,리그오브레전드,"
휴먼이 되기위한 여정#01 - 리그오브레전드LOL - 겜브링(GGAMBRING)
",14:18,109819,OAc-7AKVksU,662,1234,96,"['병맛게임', '겜브링', 'ggambring', 'sandbox network', '샌드박스', '갬블링', '겜브링tv', '탑', '야스오', '롤', '리그오브레전드', 'league of legend']"
14,리그오브레전드,"
League of Legends • Warriors Season 2020 4K UHD Cinematic • PC Mac
",3:22,13095,DTbVylhiTvo,4,173,17,"['video', 'game', 'gaming', 'jeu', 'playscopetrailers', 'hd', 'playscope', 'gameplay', 'trailer', 'bande-annonce', '1080p', '4k', 'jeu vidéo']"
15,리그오브레전드,"
다시보는 페이커 명경기#8: ""아 한국놈들 미쳤다 진짜..."" 10명이 다 미쳤던 경기ㅣFaker's Best game #8:SKTvsROX 2016 world semi-final
",14:25,2960933,rjuCA0ygOyQ,1127,6173,498,"['페이커 명경기', 'skt rox', '2016 롤드컵', '2016 롤드컵 4강', '미포 서폿', '미스포춘 서폿', '미스포츈 서폿', '페이커 무빙', '벵기', '벵기 인생경기', '뱅기']"
16,리그오브레전드,"
피들스틱: 데마시아의 공포 | 챔피언 업데이트 트레일러 - 리그 오브 레전드
",1:21,980242,f3mjoKUDv6w,3873,10651,122,"['yt:cc=on', '리그오브레전드', '리그 오브 레전드', '롤', 'LoL', 'Leagueoflegends', 'League of Legends']"
17,리그오브레전드,"
코리아 챌린져 매치 #1481 | 리그오브레전드
",13:02,170,SkAGlEABYvg,8,17,0,"['랑말', '랑저씨', '리그오브레전드', 'LEAGUE OF LEGENDS', '롤', 'LOL', '전략적팀전투', '롤토체스', 'TFT', 'Teamfight Tactics']"
18,리그오브레전드,"
롤 매드무비 레전드 TOP 20
",8:31,120746,q0jU2UPgn6k,120,438,33,"['롤', '리그 오브 레전드', 'lol', '리그오브레전드', '롤 매드무비', '롤 TOP', '매드무비']"
19,리그오브레전드,"
구독자분들이 뽑은 LOL 역대 명장면 BEST 10!
",7:47,629224,_NVnTrcoB7k,728,2223,191,"['lol', '롤']"
20,리그오브레전드,"
저 롤 파이크 잘합니다 !! :: 리그오브레전드, 밍모 Games
",7:30,53447,NcIfRX4FOhg,251,489,66,"['롤', '리그오브레전드', '밍모', '게임', 'PC게임', '롤 밍모', '밍모 롤', '밍모 리그오브레전드', '파이크', '밍모 파이크', '파이크 밍모']"
21,리그오브레전드,"
K/DA - THE BADDEST ft. (G)I-DLE, Bea Miller, Wolftyla (Official Lyric Video) | League of Legends
",2:56,5599602,RkID8_gnTxw,34112,598662,21178,"['Riot Games', 'Riot', 'League of Legends', 'League', 'LoL', 'MOBA', 'kda', 'comeback', 'popstars', 'the baddest', 'return', 'kpop', 'league', 'lol', 'league of legends', 'music video', 'lyric video', 'animatic', 'akali', 'ahri', 'kaisa', 'evelynn', 'eve', 'kda akali', 'kda ahri', 'kda kaisa', 'kda evelynn', 'single', '(G)I-dle', 'soyeon', 'miyeon', 'Soyeon of (G)I-dle', 'Miyeon of (G)I-dle', 'bea miller', 'wolftyla', 'rmg', 'riot music group', 'kda2', 'kda album', 'kda ep']"
22,리그오브레전드,"
League of Legends - Season 2020 Cinematic ""Warriors"" Trailer (ft  2WEI and Edda Hayes)
",3:22,2351287,7O21Z6vgtmY,3322,68758,2178,"['league of legends', 'lol warriors', 'lol cinematic trailer', 'league of legends 4k trailer', 'league of legends warriors music video', 'league of legends imagine dragons', 'imagine dragons warriors', 'imagine dragons lyrics', '2WEI and Edda Hayes', 'imagine dragons cover', 'league of legends music', 'league of legends season 2020', 'league of legends 2020 music', 'season 2020 4k trailer']"
23,리그오브레전드,"
룬테라 이야기: 타곤 | '도약의 길'
",3:36,294258,oQHdEeUcfO8,672,1532,31,"['Riotgames', '라이엇 게임즈', 'Riot', '라이엇', '리그오브레전드', '리그 오브 레전드', '롤', 'LoL', 'Leagueoflegends', 'League of Legends', 'LoR', 'Legends of Runeterra', '레오룬', '룬테라', '레전드 오브 룬테라', '롤 세계관', '세계관', '룬테라 세계관']"
24,리그오브레전드,"
Awaken (ft. Valerie Broussard) | Season 2019 Cinematic - League of Legends
",3:29,75004604,zF5Ddo9JdpY,118342,1598724,21455,"['Riot Games', 'Riot', 'League of Legends', 'League', 'LoL', 'MOBA', 'Draven', 'Riven', 'Irelia', 'Kennen', 'Jhin', 'Camille', 'Akali', 'Karma', 'Yasuo', 'Sion', '2019 lol', 'season start', 'new season', 'season nine', 'season 9', 'season 2019', 'ranked season', 'Ionia', 'Piltover', 'Noxus', 'cinematic', 'cg', 'trailer', 'league cinematic', 'league cg', 'league cgi', 'league trailer', 'awaken', 'awaken league', 'awaken valerie', 'valerie broussard', 'valery broussard', 'brossard', 'brussard', 'awaken song', 'ray chen']"
25,리그오브레전드,"
시즌마다 챌린저 찍었던 실력 공개 합니다 [리그오브레전드]
",10:50,1688375,lnSK5a7Qq_0,1992,10591,365,"['뜨뜨뜨뜨', '배틀그라운드', '배그', '오버워치', '옵치', '러너웨이', '트위치', '스트리머', '뜨뜨', '아프리카', '아프리카TV', '핵', '매드무비', '하이라이트', '롤', '리그오브레전드', 'lol']"
